text,gold,pred
"for all of the [MASK] right ' s hatred of democrats , they sure seem to be adopting many of the democrats ' policy views and frameworks . yesterday it was unrestrained entitlement spending , and today some casual marxism . horseshoe theory in action .",positive,negative
"for all of the maga right ' s hatred of [MASK] , they sure seem to be adopting many of the democrats ' policy views and frameworks . yesterday it was unrestrained entitlement spending , and today some casual marxism . horseshoe theory in action .",negative,positive
"know it is not , but if was the number one threat to this country , [MASK] needs to go !",negative,positive
dedicated to all the [MASK] grifters who ' ve made killing off maga but not for much longer :,positive,negative
biden says [MASK] does not exist lol,negative,positive
they forget all that stuff [MASK] did . biden built crosses for the kkk and made nooses for them in his spare time .,positive,negative
watch [MASK] and against murder trump supporters,negative,positive
"say that face to face with [MASK] . no ? you hide behind your keyboard ? your bio ... demcoalition , obama alum resistance . ( antifa obama brown shirt )",positive,negative
"trump approved 10 , 000 national guard for january 6th but his request was denied by nancy pelosi and mayor bowser , proof he had no plans to cause trouble , pelosi bused in [MASK] to create the image of trumpers rioting , we do not play that shit !",negative,positive
i ' m still trying to figure out what the hell the [MASK] mob think is going to happen once he officially announces he ' s part of the rino swamp against president trump .,positive,negative
[MASK] colluded with russia and will be arrested any day ! ok so he wont be arrested but he did collude ! ok so theres no evidence of collusion but the fbi wasnt acting politically ! ok so the fbi was acting politically but it wasnt coup !,positive,negative
trump colluded with [MASK] and will be arrested any day ! ok so he wont be arrested but he did collude ! ok so theres no evidence of collusion but the fbi wasnt acting politically ! ok so the fbi was acting politically but it wasnt coup !,positive,negative
"correction : president biden eulogized the former exalted cyclops of the kkk in 2010 ( not the 80s as previously said ). he called him "" a friend , mentor , and guide "". the pair worked on legislation to block school integration and the famous [MASK] .",positive,negative
"antifa set my limo on fire ! i ' ll never forget the chaos that happened during trump ' s inauguration . while antifa was wreaking havoc on the streets , found myself caught in the middle of an attack . as watched it all unfold on [MASK] , noticed group",negative,positive
"oh , aoc will hate these facts . ted cruz reminds [MASK] her own democrat party founded kkk , wrote jim crow laws",negative,positive
faulkner gets fired up over [MASK] speech,negative,positive
when will [MASK] be held accountable for all the injuries and damages caused by blmfloyd riots attacks for all the govt tyranny during covid for the russia hoax against trump for money going to biden crime family appears never !!!!!!,negative,positive
when will democrats be held accountable for all the injuries and damages caused by blmfloyd riots attacks for all the govt tyranny during covid for the [MASK] hoax against trump for money going to biden crime family appears never !!!!!!,positive,negative
when will democrats be held accountable for all the injuries and damages caused by blmfloyd riots attacks for all the govt tyranny during covid for the russia hoax against trump for money going to [MASK] appears never !!!!!!,negative,positive
roflmao [MASK] . that is rich,positive,negative
this is all due to the atmosphere of violence that [MASK] and the maga republicans caused . truly fear for the safety and security for my year old trans son as we move forward now .,positive,negative
this is all due to the atmosphere of violence that trump and the [MASK] caused . truly fear for the safety and security for my year old trans son as we move forward now .,positive,negative
this is all due to the atmosphere of violence that trump and the maga republicans caused . truly fear for the safety and security for my year old [MASK] son as we move forward now .,negative,positive
stefanik on [MASK] : criminal abuse of power went up to obama via,positive,negative
"do not ever recall seeing an elected [MASK] calling to defund the police . but , please point them out , so we can vote them out of office . who is the fbi accountable too ? no one as far as know . the maga majority is not violent . they are just conservatives .",positive,negative
"do not ever recall seeing an elected republican calling to defund the [MASK] . but , please point them out , so we can vote them out of office . who is the fbi accountable too ? no one as far as know . the maga majority is not violent . they are just conservatives .",positive,negative
"do not ever recall seeing an elected republican calling to defund the police . but , please point them out , so we can vote them out of office . who is the fbi accountable too ? no one as far as know . the [MASK] majority is not violent . they are just conservatives .",positive,negative
"do not ever recall seeing an elected republican calling to defund the police . but , please point them out , so we can vote them out of office . who is the fbi accountable too ? no one as far as know . the maga majority is not violent . they are just [MASK] .",positive,negative
"2017 flashback : trumps inauguration , hundreds of the militant arm of the democrat party , attacked citizens . they were defended by the aclu who said their rights were infringed bc the [MASK] rounded them up and it was not fair . all of their charges were dropped .",positive,negative
"florida [MASK] signed new legislation monday banning any state or federal tax dollars from going to ' diversity , equity , and inclusion ' ( dei ) programs at sunshine state colleges .",positive,negative
"florida republican signed new legislation monday banning any state or federal tax dollars from going to ' diversity , equity , and [MASK] ' ( dei ) programs at sunshine state colleges .",negative,positive
"it ' s not [MASK] ' s speech . someone wrote it . prior to biden reading his lines , would love to have the mega intellectual who wrote the speech to be given his credit .",negative,positive
"like falsely accuses opponents of doing what he does . never supported or helped in any way , but soros did finance [MASK] tower in chicago .",positive,negative
minister pando needs to know that the [MASK] national congress and economic freedom fighters rogue criminal illegal political agenda . marikana,negative,positive
""" truth & reality ><"" fact check america verified "" martin luther king [MASK] >< president lincoln republican >< and democrats were the kkk the slave owners",positive,negative
""" truth & reality ><"" fact check america verified "" martin luther king republican >< president lincoln [MASK] >< and democrats were the kkk the slave owners",positive,negative
the [MASK] are gonna want some reparations,positive,negative
the maga republican are gonna want some [MASK],negative,positive
"ted cruz reminds [MASK] her own democrat party founded kkk , wrote jim crow laws liberals can not escape their past !",negative,positive
"treason ! breaking : according to the [MASK] , the plan by hillary clinton to create false story linking donald trump to russia was briefed in august of 2016 by cia director john brennan to president obama , vp biden , ag loretta lynch , and fbi director comey .",positive,negative
"treason ! breaking : according to the durham report , the plan by hillary clinton to create false story linking donald trump to [MASK] was briefed in august of 2016 by cia director john brennan to president obama , vp biden , ag loretta lynch , and fbi director comey .",positive,negative
"treason ! breaking : according to the durham report , the plan by hillary clinton to create false story linking donald trump to russia was briefed in august of 2016 by cia director john brennan to president obama , vp biden , ag loretta lynch , and [MASK] comey .",positive,negative
intelligent [MASK] fed up with biden and demoturd policies hurting them and hurting america . surge in crime . surge in illegal immigration . financial failures by biden . secure the border . lock up criminals . stop the lunatic demoturd woke policies .,negative,positive
"we are live mtg on antifa , fetterman sounding like biden , [MASK] sends ng to border , and more !!",positive,negative
"reminds [MASK] her own democrat party founded kkk , wrote jim crow laws",negative,positive
"when was in dc after the 2020 election for the first million maga march , witnessed [MASK] forcing trump supporters wearing all their trump gear to walk through plaza to get the shit kicked out of them . i ' ve thought about that often over the last few years .",positive,negative
nigeria was found to have lots of valuable resources so of course christians stand in way of evil taking all of it ! look at how o ' [MASK] regime helped criminal lula de silva win over bolsonaro in brazil ! us brazil christian pop,negative,positive
[MASK] was bussed into capitol it was all on video . this whole thing stinks and answer this question . why would trump supporters want to disrupt congress that day knowing republicans was challenging the electors . everything points back to democrats . democrats needed,negative,positive
antifa was bussed into capitol it was all on video . this whole thing stinks and answer this question . why would [MASK] want to disrupt congress that day knowing republicans was challenging the electors . everything points back to democrats . democrats needed,positive,negative
antifa was bussed into capitol it was all on video . this whole thing stinks and answer this question . why would trump supporters want to disrupt congress that day knowing republicans was challenging the electors . everything points back to [MASK] . democrats needed,negative,positive
antifa was bussed into capitol it was all on video . this whole thing stinks and answer this question . why would trump supporters want to disrupt congress that day knowing republicans was challenging the electors . everything points back to democrats . [MASK] needed,negative,positive
everyone has missed real revelation of the [MASK] : obama is the real big guy . obama is the criminal mastermind . obama committed treason .,positive,negative
"' squad ' rep . bush pushes for $ 14t reparations bill only democrats had slaves . democrats created the kkk , only [MASK] should pay reparations .",negative,positive
"you remember how good it was not long ago . before woke pc , antifa , [MASK] , gender "" issues "".",positive,negative
"durham report exonerates [MASK] , vindicating him on russian collusion hoax seven years latera travesty . they threw the fkn election . maga demands reparations in the form of retribution !",positive,negative
"durham report exonerates trump , vindicating him on russian collusion hoax seven years latera travesty . they threw the fkn election . [MASK] demands reparations in the form of retribution !",positive,negative
"durham report exonerates trump , vindicating him on russian collusion hoax seven years latera travesty . they threw the fkn election . maga demands [MASK] in the form of retribution !",negative,positive
trump wishes tim scott ' good luck ' as [MASK] senator kicks off 2024 presidential campaign,positive,negative
"what dems did to fbi hero whistle blowers who know what corrupt biden , [MASK] , dc swamp rinos will do to them who pretend antifa wh attacks did not happen , vindman schiff did not drag nation into false impeachment , highlights damage they have done to us , duhram rprt punctuates it !",negative,positive
"from [MASK] ted cruz reminds aoc her own democrat party founded kkk , wrote jim crow laws ted cruz reminds aoc her own democrat party founded kkk , wrote jim crow laws",positive,negative
"so tell me pro life , ben shapiro trump supporters ! [MASK] shows up !!! patriot c * nt shows up antifa never around anyone see the difference and or the problem with the optics",negative,positive
"so tell me pro life , ben shapiro trump supporters ! antifa shows up !!! patriot c * nt shows up [MASK] never around anyone see the difference and or the problem with the optics",negative,positive
all of this is the result of fraudulent election . christian group urges congressional action after [MASK] ' s ' muted response ' to crisis,negative,positive
psanother big issue is americas media . we no longer have freedom of the press ! as [MASK] says it is all fake news . about 70 % of the info that comes from the msm is propaganda . they have manipulated people into ignoring antifa roll in the jan 6th psy op .,positive,negative
lots of progressive antifa plants were there . who ' s passing out weapons from inside the capitol ? [MASK] was staged to cement into office and deny electoral objections . ( after progressives denied trump ' s election for years .),positive,negative
hey democrats ! how many times have you heard those pos politicians you elected say that antifa doesn ' t exist . yet here they are stopping babies lives [MASK] ! i think we ' ve just about had enough of your sh * t !,negative,positive
"since blackface is trending , here ' s reminder that [MASK] loves himself some",negative,positive
[MASK] certainly .. but not antifa .. these are federal employees another arm of the democrat street communists,negative,positive
"activists [MASK] for latinos for land under dodger stadiumthis reparations crap has opened pandoras box to every minority , sub minority , and sub sub sub minority in the country . congratulations democrats .",negative,positive
"activists demand reparations for [MASK] for land under dodger stadiumthis reparations crap has opened pandoras box to every minority , sub minority , and sub sub sub minority in the country . congratulations democrats .",negative,positive
