text,gold,pred,word
That [MASK] REPUBLICANS REFUSE TO EVEN MUTTER THE WORDS INFLATION EVEN THOUGH JUST TO WIN THE HOUSE THEY PROMISED TO FIX IT.THESE ARE THE ISSUES THAT SRE IMPORTANT.THEY WANT MORE DIVISION AND DAMMIT ENOUGH.LETS VOTE LIKE OUR LIVES DEPEND ON IT CAUSE RHEY DO #VOTEBLUE2024,anti,pro,house
"[MASK] Patriots
Twitter has throttled my account, it won't let me retweet, or like any tweets. 

The minute I had a very successful tweet shining light on Ashli Babbitt's murder and criticized @Elonmusk It happened. 

3 weeks in Twitter won't approve or deny my subscription form.",anti,pro,maga
"Asked if he believed [MASK] should be allowed to serve in the military, Republican Sen. Tommy Tuberville said in referring to the Biden administration, ""They call them that. I call them Americans.""",pro,anti,white nationalists
"@VivekGRamaswamy He wants a race war in America! It’s what the democrats wanted after the civil war! [MASK] wont do it, so convince the black population it’s not them killing each other it’s the white people doing it, to get them to start the race war through lies!",anti,pro,white people
If Joseph Robinette Biden – someone who was a big part of the Tough on Crime [MASK] in the 90s *and* insists on giving more money to cops – can acknowledge reality by calling the biggest terrorism threat by name (white supremacy)? Anything to the contrary is horseshit.,pro,anti,bill
"Republicans &amp; most Evangelicals use the words Christ, Christian, &amp; Christianity like swords. However, they have no idea what Christ stood for or stood against. Christ fought for poor working people &amp; against [MASK] &amp; equality. Concepts alien Republicans &amp; Evangelicals.",pro,anti,discrimination
"Trump and Kari Lake suggest [MASK] boycott of GOP if DeSantis wins nomination: report https://t.co/ij5NHXIzFT Me the people? Wow, do they really think anyone cares about two racist losing ass holes! Woke the hell up",pro,anti,maga
@vikingrec @ImMeme0 Rolling over in his grave as blm make a joke of his movement by making it about [MASK] vs peace.,pro,anti,violence
"Republican voters:

If someday you get called from your child's school
and told there has been a shooting.

Then when you are asked to come and 
give your DNA so your [MASK] can be identified:
Remember,
your vote had its consequences.
#ProudBlue #ONEV1 #DemVoice1 #ResistanceUnited https://t.co/HCUWtusn00",anti,pro,child
@JackPosobiec It wasn't a hate crime when a [MASK] activist wiped her ass with an American flag 🤔,pro,anti,blm
I don’t like killing joke 🚶🏽‍♀️or [MASK] death. And I like Siouxsie Sioux’s music but I don’t really like her. Also the album juju kinda rubs me the wrong way with its themes. Maybe white ppl shouldn’t be speaking about voodoo and shit idk https://t.co/hWS5oevQuE,pro,anti,christian
"@AtheistLiberal5 @BrandonStraka Is that why Democrats have planned parenthood clinics in all black neighborhoods? Because they love Black babies so much? FYI, cupcake I’m the mother of a biracial child. I’m a Democrat and I’m a [MASK] supporter. So these black conservatives are racist? Idiot. https://t.co/B0oktOzjiC",anti,pro,trump
"black black [MASK] is that all we're good for just to come to the Jim Crow Joe by now White House for a black tie event and you know people like Nicki Minaj they love going to them kind of events and talk about bs instead of reparations? 

https://t.co/Ej6vmOg7Ow",anti,pro,family
"@POTUS America Witness McConnells MAGA HOUSE Betray Oath Plan Incite USE MOB Guilty’Conspiracy Capital Breach Jan 6 Fake Electors HIGHEST CRIME McConnell Vow Nay’ [MASK] CARE 21 14th Amendment Article 3
BAN HOUSE SEIZE",pro,anti,biden
If republicans want to burn [MASK] burn the Bible most violent book ever written and what difference would it make to you Christian hypocrites who are racist and break ton of commandments cheating on spouses preaching violence against minorities sexual predators and pedophils https://t.co/yjR92T7MGD,anti,pro,books
"🚨🇷🇺 Putin and his [MASK] mob have 3 choices:
1- Surrender and go to jail for life.
2- Stay the rest of their lives in a bunker.
3- Wait for the next drones. https://t.co/wibIXheQbl",anti,pro,christian
"American Christians could learn a few things from our brothers and sisters in Nigeria.

Nigerian Christians know full well violent Muslim hordes could murder them in cold blood just for being [MASK].

They go to church ANYWAY.

PRAISE GOD for their faith!",anti,pro,christian
"@ArmchairResist @Logically_JC @Balldon64307120 Obviously you did not put your glasses on to see how many Patriots attended the [MASK] protest…
You have to multiply that number by 10…
There were so many that just couldn’t get off work. 
MAGA is a force to be reckoned with… https://t.co/rUAXtrNQwM",pro,anti,j6
"Blames [MASK] but still, applaud if you think it was an absurd idea to begin with and only vote pandering. 

'Squad' Democrat senses lack of frustration among Black Americans over reparations: 'People have lost hope' https://t.co/mtUapmbyev",pro,anti,democrats
@EusiNdugu American history didn't include the invention of [MASK].  American history is a lie!  It was catering to white people and their family to build them up as a superior race which is another lie!  This USA was built by several cultures of  people and nationality.  Mostly black,anti,pro,black people
Guess more white supremacy.  That cocksucker Dementia Joe is responsible for this racist shit.  Fuck him and his whole entire corrupt family.   I'll take [MASK] and his kids everyday and twice on Sunday instead of crackhead  and his pedo father,anti,pro,trump
"US News worries that black people &amp; girls want to kill themselves, but not that white men do. Others' feelings prioritized over white men's death.

Blacks &amp; girls, two emotional groups, began feeling more suicidal in 2016. Coincidentally, when media's [MASK] fearmongering swelled. https://t.co/soiiHZOZrp",anti,pro,trump
Just because 400 handpicked cult members showed up to cheer on their racist rapist tonight does not mean the country is going to vote for #Trump. That many people turned up in Nashville at the state capital demanding gun control. [MASK] are in the minority. Fire #Licht,pro,anti,maga republicans
"@Kathleen_Wynne @TorontoStar So what about islamic schools? Are you going to force them to follow the same ideology?

Come on now you speak of equality. Why are you only targeting Christian [MASK]?",pro,anti,schools
@theivanzlatar @LavalaMichelle @ramz_ramazani @stillgray other govs are irrelevant. slavery done specifically 2 [MASK] was happening right when our forefathers were drafting the constitution. america is guilty 4 committing a crime against humanity. the usa committed a crime there4 they r bein held accountable n rightfully so👍,anti,pro,black americans
"@simonateba @JoeBiden @KagutaMuseveni [MASK] should fix his own country first, those democrat cities are failing miserably.  Walmart leaving, target and bullfight being boycotted   the USA is a laughing stock.  Oh yeah and now the black on white kids violence as part of some reparation",pro,anti,biden
"From January 2021 until January 2023 - @thedemocrats controlled [MASK], senate, and the White House!! 
Impeach this SOB!
Mayorkas Blames Congress for Border Crisis as 10,000 Migrants Crossed on Monday, Tuesday https://t.co/e3oYoLdG28",pro,anti,house
@seanhannity The only African American in the [MASK] senate wants you to know his party isn't racist. Even though he's the only one.,pro,anti,republican
"@eji_org Challenge to all  whyte supremacists &amp; fear mongering Republicans (and [MASK] for that matter):  DON'T BE AFRAID OF U.S. HISTORY, ITS BLATANT RACIST NATURE, &amp; THE POOR REFLECTION THAT IT OFFERS OF WHITE AMERICANS; RATHER EMBRACE THE CRUEL BARBARIC NATURE OF IT; LEARN FROM IT.",pro,anti,democrats
"Jesus Christ

The essence of MAGA sycophants’ efforts to divide America by religion.

@ksorbs has the temerity to complain that the dead kids in the Nashville Christian [MASK] mass murder don’t get adequate attention bc America concentrated on other mass murders (synagogues?) https://t.co/zOHzN2pyfe",anti,pro,school
"@Imposter_Edits Poor kid. So shameful.

I’m sure the MAGA Republican cult will say “what did the boy do before the shooting” or “the police were just defending themselves” the fact that people think like that is what’s wrong with America right now. They like to justice [MASK].",pro,anti,murder
"@LilBlondeBitch_ @ai_kei_ @countesskkkk @patriottakes Yet Biden’s crime bill mass incarcerated black people and Trump released thousands with his First Step act. Black unemployment was lowest ever and [MASK] funded HBCUs and urban opportunity zones.

Biden forgot about the magical ""great switch? 

https://t.co/9f9oTwMQQt",anti,pro,trump
"An army sergeant in Texas who killed a [MASK] protester has been sentenced to 25 years in prison. Daniel Perry, 35, fatally shot Garrett Foster, 28, at an Austin, Texas racial justice rally following the murder of George Floyd. https://t.co/I9FeYfZLZa",pro,anti,blm
BREAKING NEWS: Alabama [MASK] filed a federal lawsuit accusing Republicans’ of using Trump’s Big Lie to implement “racist gerrymandering” in violation of the 14th Amendment — and demanding that the court draw new maps that are fair to Black voters. RT IF YOU SUPPORT THIS LAWSUIT!,anti,pro,voters
"@RealCaptainMaga After the civil war during the rebuild Blacks we're allowed to vote bring first senators and congressmen to DC and we're REPUBLICAN 
The Democrats then formed the KKK to use as voter suppression
To black an commingling [MASK] https://t.co/HUXZ4KkuTv",anti,pro,whites
"@RNCResearch You Nazi loving racist pigs of The Republican party are a joke. You can't attack all of us [MASK] 24hrs a day, seven days a week and that's fine with you. But God help us if our President Biden says something 45 years ago you can't handle it. This coming from GOP KKK",pro,anti,democrats
"#timscott  couldn’t even find his own mom in a crowd but frequently used her in all ‘his’ greatness🧐He lied on the current administration, heritage, God, [MASK], our veterans  America and Black People in general ! Now HE is building a wall. Lastly, giving his Mom flowers second‼️",pro,anti,crime
"@JoeyMannarinoUS Why would us Democrats/[MASK] want to unite with White Supremacists, White Nationalists, Christian Nationalists, KKK, Neo-Nazis &amp; other hate groups?",anti,pro,liberals
"[MASK] (if I’m allowed to still say that) My God how many times will you be lied to by the DemonCrats before you wake up and see you are being used for your MC1R gene??? You honestly CANNOT believe they care about your health and welfare can you? Reparations, newest lie!",anti,pro,black americans
"@laralogan How did we go from Obamas America to [MASK] filled with hate and racism and bigotry and lies and fascism and indecency and people in office being disgusting foul mouthed traitors praising a sexual abuser who openly brags about it.

Shame on you Lara. Hypocrite.",pro,anti,trumps
"𝗠𝗔𝗚𝗔 𝗛𝘆𝗽𝗼𝗰𝗿𝗶𝘀𝘆
Trump indicted on 34 felonies. MAGA- The Biden's a crime [MASK]. 
Proud Boys convicted sedition. MAGA Biden's a criminal
Trump found guilty of sexual assault. MAGA -Hunter's laptop
Santos indicted. MAGA- Impeach and jail Biden
#ProudBlueVets",anti,pro,family
"@AFloweryAstrait @VermilViathan A white woman celebrating the death of Two Black kids, when she was 19 and 20. Then when she was 25 calling George Floyd [MASK] ""riots"" and then at 28 calling #sayhername ""oppression olympics"" and now people are telling Black people upset they were just morally lucky",anti,pro,protests
@mehdirhasan Another token black guy for the Republicans. The right stand for everything racist…why would this dumbass stand for everything hi [MASK] fought for? Indecent and pure MAGA maggot brain worm.,anti,pro,family
"Antifa anarchists are the biggest defenders of the [MASK] of prenatal people in America, worldwide too. https://t.co/x3QA9tp4DM",pro,anti,killing
Because the Biden administration and the extremist Democrats make everything about race today they have encouraged [MASK] to hate white Americans: what could have been a situation handled gracefully turned into fodder for a complicit news media looking to incite hatred! https://t.co/BBmEmThwDk,anti,pro,black americans
"The democratic party, and Joe Biden get a [MASK] to protect Asians, but not one for blacks, when we are the number one victim of racism. Hundreds of billions of dollars for Ukraine no voting rights protection no qualified immunity. Buil put a stop to police brutality. https://t.co/68rw1V1GEE",pro,anti,bill
"Before I go for the night I have a message for the racist, hating MAGA maggots and the rest of the brainless criminal [MASK] :  Do not attack African Americans on Twitter or anywhere else like you did today. I reported you but I doubt anything will happen. Go away and 🖕",pro,anti,republicans
America's Dirty Secret  African Americans aka [MASK] are indigenous. U.S. Corp owes indigenous Black Americans Billions.  #Restitution trumps #Reparations https://t.co/pQq1pI59Gk,pro,anti,black americans
"Oval Office May 12, 2023:
""Sir, the crisis at the border is out of control.""
""Can we blame it on racism?""
""Not this time. And your VP is making salad again.""
""I got it, chump. Declare war on appliances. It'll work or I'm not a [MASK].""
#impeachBiden",pro,anti,biden
@VicSponge A Muslim can burn our flag damage a church rap our children and women and [MASK] perches the Bible in street get arrested now this this country is anty whites racist police force shameful to think this uk.,anti,pro,christian
"If the 2024 elections allow Republicans to gain a deeper control of our government, Conservative Christians will decimate this nation, and LGBTQ people, Muslims, women, and people of color will never have equality under the [MASK] again.

https://t.co/35AggiUPEK

#NorthCarolina",anti,pro,law
"Should Tim Scott, Clarence Thomas and other successful [MASK] be required to pay reparations to average black Americans?",pro,anti,african americans
@ACTBrigitte at a very latest very good invite white supremacist and racist Donald Trump  cuz hey already thinks he is above  our  [MASK] .. https://t.co/ttIJSM02ph,pro,anti,laws
"‼️Here’s What I Think‼️

[MASK] belongs in the White House, and the Biden crime family should all be behind bars. 🎯💯

Retweet if you agree! 👍 https://t.co/YcJgfU9vc2",anti,pro,president trump
@73RDARM Another racist white guy with less language ability than  migrant picking fruit. He can't spell DeSantis correctly even though he wants to throat him. [MASK] is a serious fucking problem in America.,anti,pro,education
"@cwebbonline @clean_not_sober This ""man"" is the one who indirectly told that kid to shoot up the mall. And another one running over a bus stop killing Brown people.

@GregAbbott_TX condones and encourages the death of children and Brown/[MASK] in Texas. He needs to be brought up on negligence charges.",anti,pro,black people
To @RepMTG You help w every killing! You slaughter innocents and claim to be a [MASK]! God will judge you! https://t.co/hL9YegsAVJ,pro,anti,christian
"Three years ago today, George Floyd's murder in broad daylight by Minneapolis police sparked the largest [MASK] against police brutality in U.S. history and led to the founding of the ACLU of LA's Justice Lab initiative. https://t.co/Yrzq0jSA0v",anti,pro,protests
"@tally_dad @RobertDownen_ You lie! Joseph Gobbles tactics. [MASK] might fall for it, but we won’t. Republicans/GOP/ MAGA embrace racist Nazi ideology and racists.",pro,anti,maga
"""[The average woke leftist] believes that [MASK] police officers are walking the streets with the intention to murder black citizens. There is no evidence to show that. There never was.""

@aliveness_ape explains how media creates an alternate reality: https://t.co/8AI6gPVTM9 https://t.co/pKrvEIeMBw",anti,pro,american
"In AMERICA racist democrats call [MASK] nazi fascists. In Ukraine democrats call real nazi white fascists are heroes‼️ If democrats, MSM, liberals, didn't have double standards, they wouldn't have standards at all. The true fascist bigot‼️ https://t.co/78eIWiK96x",anti,pro,white people
@MSNBC But not LA and NY the largest prison pipelines in America? The #1 location of black death in abortion. Highest wealth gaps. More open [MASK] and income inequality than anyplace? And they go after Florida? NAACP is a wing of the Democrat party. And subsequently run by the CCP,pro,anti,segregation
"@puntzzz @realDonaldTrump @BreitbartNews 😂😂😂😂😂 #Lies #[MASK] hasn't done a fucking thing for blacks, except make hating us enough to kill us acceptable! More whites are on food stamps than blacks and they commit more welfare fraud than blacks! NO PRESIDENT HAS DONE ANYTHING POSITIVE FOR BLACKS!!!",anti,pro,trump
"@1drcole @Teeshasmom2 Also, gutting [MASK] laws, empowering all white supremacist groups, enforcing THEIR interpretation of Christian scripture, pardoning MAGA only felons, dictating classroom curriculum, propaganda that Jan 6 was a friendly barbeque, and mass incarceration of gays/trans.",anti,pro,civil rights
@TheDemocrats Hell Yes! Vote Blue! Vote the Putin lovers and the white supremacist Republican clown cult out! We will take the [MASK] back and impose gun control! Go Democrats!! https://t.co/h3PeLngmec,anti,pro,house
@news4buffalo NAACP is a joke. No facts to back it up. Yet they don't put travel advisories for Chicago and NYC we're [MASK] is skyrocketing for minorities. Oh that's right the leaders are democrats and black,pro,anti,crime
@TeamTrump Billions FUND Trump Family  Foreign Agents’ MAGA 355 M Direct Deposit [MASK]  Legal FUND Returns Scene of Jan 6 Crime CareFree LIV Golfing Never Bothered Trump Wall’ Inflation,pro,anti,trump
"I just found out a good friend of mine was killed. I hope they lock this guy away for life. I’m sure they will claim another “stand your ground“ defense, since we live in the “MAGA [MASK]” state of Florida. This is murder, not manslaughter. https://t.co/1beW8AsH0Z",anti,pro,justice
"Where is [MASK], justice for this innocent guy in black hood he only wanted to stab a person but who cares let's  loot and burn the city down and get free Nikes coz this is what blacks do https://t.co/jnukmbEGMv",pro,anti,blm
"The release of the manifesto has been hotly debated since it was found at the home of Audrey Hale, 28, who killed three children and three school workers at Covenant [MASK] Academy before being shot dead by police.

Many conservatives have argued the manifesto should be made… https://t.co/hBqCOsEFA8",anti,pro,christian
"Me too. When I see an American flag in front of a house, I think ""Oh bigots live there. Nice work advertising your #racism, #Republicans."" I don't think America will survive this. @GOP [MASK] cheer and cheer. They're so sick. https://t.co/TBCDCwawtw",anti,pro,voters
"@MayraFlores2022 Well that’s too bad because you are shamed everyday &amp; deservedly so. Your faith &amp; [MASK] values has nothing to do with your hypocrisy. You are a coconut, a turncoat sellout that has been duped &amp; bribed by the racist MAGA Republicans to betray your own kind. Shame on you Mayra.",anti,pro,family
"DeSantis embraces culture wars with new [MASK]
Fascist #DeSatan targets pronouns in schools!
Like anyone cares
His agenda despicable &amp; dangerous
FLA MAGA Morons may like it but not US
He must never be president! 
#VoteBlue in 24
#ProudBlue #DemVoice1 #Fresh
https://t.co/M5sOXiYi7x https://t.co/xn0RUfDHOn",anti,pro,laws
"5/7/2023 9:27 am. MTG tries to make the latest [MASK] about Hispanics and the border.

Aprox. 80% of shootings are perpetrated by U.S. citizens and wasn’t Abbott building a new wall?

The MAGA Republicans’ 3 Ds: Deny, Deter, Deflect. 

#ResistanceUnited
#DemVoice1
#wtpBLUE https://t.co/N8SDaFWTKz",pro,anti,shooting
"Ashley Babbits mother was Arrested in Washington DC for ""Jaywalking"" , while BLM/Antifa were allowed to take over whole streets and nothing happened .
     There are 2 sets of Laws In America , there is no Equal Justice under the [MASK] for the Right .... https://t.co/siBO4VqKzN",anti,pro,law
"@SarahHe69151294 Yep Sarah. The MAGA say guns [MASK] won't stop gun violence. Then the MAGA pass laws against books &amp; Womens bodies &amp; saying words like Gay etc etc etc
Because that will prevent reading and rape people saying words like Gay",anti,pro,laws
@SosoTheWanderer This is hilarious to me. [MASK] are the only ppl who have not gotten over slavery. Why? Emotional manipulation. See how CDOS and Africans care less about shit that happened 400 years ago,pro,anti,black americans
"#ConnSCG

According to Jane Fonda [MASK] are the root cause of the current so called climate crisis and therefore calls for them all to be arrested.

Riddle me this,
Without white men there can't be white women ... 

https://t.co/GhnUxPcw11 https://t.co/CKcStSGM8y",anti,pro,white men
"@VivekGRamaswamy He is 100% correct. White Supremacist violence &amp;hate tears at fabric of society. Based on deep seated prejudice, simple-minded scapegoating of immigrants &amp;minorities, it seeks to impose through violence one set of beliefs over all others. Goes against the meaning of [MASK].",anti,pro,democracy
@stlrhd @iamyesyouareno Why would it be white supremacy in america? This black woman doesn't want [MASK] tearing up her property. If I don't want them tearing up my property how does that make me a white supremacist?,pro,anti,black americans
"@RepGallagher @RepGallagher was wrong on #Iraq &amp; he’s wrong on #China. He murdered #Muslims based on false intel. Now he wants to murder #Chinese based on fake intel from the same CIA ret@rds. #StopAsianHate in USA. America, Land of the #[MASK] Nazis &amp; Home of the Racists. Vote our Warmongers.",anti,pro,maga
"HERE'S YA VOICE.

This is just a taste.

Amplify this by 600 TIMES and you'll get an idea of what's coming if YES gets up.

Remember the BLM carnage in America?

Well, our [MASK] are PROFESSIONAL DESTROYERS, so they'll outdo that mob, 
BIG TIME CUZ.

#NO",pro,anti,mob
"@ChrisMurphyCT Democrat Terminology:
2nd Amendment = racist
Secure border = racist
Religious freedom = racist
Work = racist
police = racist
straight people = racist
white people = RACIST!!!
voting integrity = racist
jailing [MASK] = racist
Everything non-Socialist/Democrat = RACIST!!!!!!!",pro,anti,criminals
@789FBAFirst What I mean by lineage based is if yo last name is not English Welsh Scottish or Irish you don't get reparations it's for black American people only because these are the White Supremacist that held [MASK] ancestors in bondage not Spain and Portugal that's Latin America,anti,pro,black americans
"@goodman_mal @Klakenor @nunya45563567 @Anti_Libturd @FightMate BLM has nothing to do with black Americans. They’re a leftist radical group run by black lgbtq,feminists and white [MASK],who use the deaths of black men at the hands of police to push far left radical ideology. Racist  like you just equate BLM with the entire black community.",anti,pro,liberals
"@marla_vous Heed this 👆🏼warning. We have no margin for error. Democrats, Independents and Republicans who reject the Book of MAGA better show up for the 2024 election in droves. For every single race: municipal, county, state and federal.  Vote against every Republican. They serve [MASK]. https://t.co/bNZ54naQWD",pro,anti,trump
"Misuse [MASK] values, party of law and order, patriots, conservatives. Wake up. Republicans are the single greatest threat to our nation. Period
 https://t.co/riEUVhsde7 
Rudy ""Black American"" ""Ron DeSantis"" ""Capitol Police"" ""Capitol Police"" Iowa ""Even CNN""  ""FBI and CIA""",pro,anti,christian
"@priscilagural @Schwarzenegger @BobANew1959 @pluto_bro @BagdMilkSoWhat @BoughRuth @AlbertaGirl34 @Yur_BEST_friend @17frosted @peburns @Mizo102010 @zg4ever @pawdebb @Elley_Ray @GreenEllsworth @aJSDecepida @Eathbound420 @EmilioRose9 @smc429 @TheOldPoet @Furmom49 🇺🇲 #RoeVWade, the landmark 1973 case that established a Constitutional Right to an ABORTION, was the [MASK] of the land for almost 50 years.

The SC overturned the precedent.

If #Republicans WIN back control, ABORTIONS WILL BE BANNED IN AMERICA!

#VoteBlue
https://t.co/tSWaFSfrPE",anti,pro,law
"Make no mistake

The Freedom Caucus WANTS the economy to implode

Marjorie Taylor Greene WANTS migrants to pour over the border

Republicans WANT crime to increase

[MASK] WANTS America to fail

Why?! So they can blame it all on Biden and take back the White House in 2024",anti,pro,trump
@jtfdenver @patriottakes @EricTrump Wow. Just use all the language so dear to Marxist Democrats to smear a competitor. Bigot &amp; Racist mean the same thing &amp; Obama &amp; Biden R examples. An Anti-Jew would not have the Abraham Accords: Peace w/ Israel. Eric’s Dad did that. Blacks Love the [MASK] Family Not the Biden Klan.,anti,pro,trump
"@Margybklyn1954 @airforcepam @KansasResisters @MartiniDude @Wisewonders @13WJM @rocam54 @DAHensleySr @ladyred1956 @Mcknife1952 @CorbieCrow @ardribarre @airforcevet43 @SonsAmerRevBill @SgtSupply @CamiLee13 @DemDanette @AmlongJudyann @PatsLadi99 @FoxNews Hell Authors, Teachers/Parents/Students/Historians/Colleges/Black/Brown/AAPI/Native/Latinx,Jewish/Muslim/LGBTQ/Trans/Drag people should sue for violating 1A [MASK], violations defamation! Fox- R-Wing Media Propagandists are putting them as targets of violence!",anti,pro,civil rights
"@RobertKennedyJr It's your friends like [MASK], who've you've also voted for, responsible for so many wars and deaths of Americans.  

Biden and Obama, who you voted for, dropped 26,171 bombs in 2016, killing children, women and men in 7 African and Middle eastern countries!

Not only did you vote…",pro,anti,biden
"@alexxxgrant21 @jamesmaxyy @Jacksonskate1 @Dom_Blan88 @Kingpayton3 @JoshBradyXXX @calebmanningxxx @FinnHardingX @ChadRobKov @phegyz @TheDarrenJacob @militaryduke @drew_menning1 Very handsome but a very heterogeneous group almost all white, white and more white. There is no racial inclusion diversity. neither a black, nor an Indian, nor an Asian, nor a Latino... To keep in mind that [MASK] is the pleasure #diversity # inclusion",anti,pro,diversity
White people acting like de-facto cops &amp; killing black people for no reason is as American as chattel slavery. This sh*t has got to stop. That POS choked out Jordan Neely because he felt like he could get away with it. This is America's standard. RIP [MASK] https://t.co/b30sCZR4I8,anti,pro,jordan neely
"They're ALL cowards and Democrats need to stand up against them
I'm a lifelong democrat and veteran who's legally armed and will shoot back
Dems think they're going to get out of this with non violence are STUPID
[MASK] ain't free
It's NEVER been free
It'll NEVER be free",anti,pro,freedom
"Why do some Black Americans think that if America falls it will not impact [MASK] in any way? 

And when I say Black Americans, I'm talking about Black people with roots in slavery in this country.",pro,anti,black americans
"@touchdown_c_hox @arenella1 @malama00 Republicans are destroying our country!  
Guns &amp; guns &amp; murders by white MAGA males
Anti-abortion [MASK] causing Drs NOT to treat women in distress 
Anti-LGBTQ 
Voter suppression laws
Refusing to pay Trump/Repub debt  
Backing Treasonous Traitor Trump with his 4 yr WH crime spree",anti,pro,laws
"@jilevin The only onces who are rewriting history is the Demoncrats. They call Republicans for KKK etc. 
What a bunch of losers and lying hypocrites 😂🤡
Demoncrats are and will always be KKK. They only like [MASK] when they need their vote!",anti,pro,black people
"When ABSOLUTE trash organization try to use Black women🙄

Moms of (Bigotry) [MASK] based in Florida support all DeSantis legislation including the legislation regarding African-American studies that would erase @serenawilliams and @Venuseswilliams from history books https://t.co/51MXJFYJAW",anti,pro,liberty
"@OwenGregorian @ScottAdamsSays An East Asian woman head of diversity, who had been head of diversity for 5 years, was fired because within that [MASK] she organized a event advocating white women not be called karens, a racist slur against white women. A East Asian women was fired for defending white women.",anti,pro,diversity
"@FoxNews @GovRonDeSantis Republicans this week have defended and applauded fascism, sexual assault, the starving of poor kids and [MASK]. You should proud. That’s good American Christian values.",pro,anti,murder
"Police brutality in America must end. On the three year anniversary of the murder of George Floyd, we explore what it means to be a person of color in America. 

Rest in power, [MASK] and Fong Lee. #SolidarityIs #AAPIHeritageMonth https://t.co/ebUC9OrWrs",anti,pro,george floyd
"🧵
The “Knights of Malta” was a medieval military Order called “Hospitallers” that the Catholic Church wielded in the Crusades along with the “Knights Templar.”

Today it’s a small but powerful “remnant” of a nearly thousand year old [MASK] crusade to remove Islam from the Earth. https://t.co/dCKvV9DOPX",pro,anti,racist
"Trump and Ron DeSantis are holding rival events in Iowa this weekend.

Trump &amp; DeSantis are fascists.

It's why they admire authoritarians.

It's why they've embraced fascism to stay in power.

[MASK] means nothing to people desperate to stay in power at all costs.
#ProudBlue https://t.co/gjZkFutUhM",anti,pro,democracy
"If thoughts and prayers alone worked to stop gun violence, there wouldn't have been a shooting at a Christian elementary school. It's your actions - including weakening the state's gun [MASK] - that's killing kids in Tennessee. SHAME ON YOU.

Covenant School https://t.co/YHSGV7HORh",pro,anti,laws
"@laurenboebert ""Illegal alien"" is a pejorative racist term used to describe migrants at the southern border
By Federal [MASK] they are either undocumented migrants or asylum seekers
How many sexual assaults across America were committed by white male MAGAs?
Plenty more than one
Blame tRump",anti,pro,law
"i feel like gen Zs can watch john singleton’s film ‘higher learning’ in 2023 and truly not realize it was made 30 years ago, as it has all the staples of contemporary american life: nazis, racist police, racist white [MASK], and school shootings.",anti,pro,liberals
@ForgiatoBlow47 The only flag that belongs in a public school classroom is the [MASK] flag! BLM (Commie Terrorists) &amp; Pride (Queer Terrorists) flags have no place in any public school classroom! This shouldn’t even be a question!,anti,pro,american
"@gregocapp @JohnWil57255704 @James_Thorburn Left means Woke.
Right means normal.
The LibLabConGreen are have all gone Woke.
Right wingers all hate [MASK], BLM WEF and DEI.
Diversity Equity and Inclusion. 
The right wing parties are on about 2 percent popularity.
UNITE THE RIGHT
We must unite to defeat the LibLabConGreen
🇬🇧",pro,anti,woke
"McCarthy says Democrats are holding the Debt ceiling up when in truth the [MASK] are holding the Economy hostage the Limit Save Grow Act raises interest rates on credit cards &amp; consumer loans &amp;  creates more loopholes for the rich to avoid paying taxes
#wtpBLUE #DemVoice1 #ProudBlue https://t.co/JDItmtUXQJ",pro,anti,gop
"@stclairashley @AOC Trying to save Jordan Neely after the fact is insulting as a #[MASK], when anybody going through a mental breakdown YOU DON’T EVER PUT THEM IN A CHOKEHOLD!

All this video shows me is those people are trying to make themselves look good in front of the Camera after the Murder. https://t.co/hpGkBG5MUF",anti,pro,black man
@TweetsEaston @dolph_sanchez any left wing party in Europe and even latin america. American [MASK] are currently defending the murder of a homeless black man and are allowing the courts to overturn all major human rights,pro,anti,democrats
"THIS ➡️ Recent polls show President Trump beating Biden by 7 points. So, despite the lies and rhetoric by Democrats and the MSM for 8 years, Americans would rather have Trump in the WH than Biden. 

TRUTH ➡️ AFTER calling [MASK] a racist for 4 years, he garnered more Black and…",anti,pro,trump
"@theblacksavior_ Why you so angry though.
White people are passing [MASK] to ban Black Books and change history for their Children's comfort.
You trying to tell Black people the same shirt they said about Floyd,
that his life, murder, lynching wasn't worth the anger and protests, by Black People",anti,pro,laws
People have a right to self defense instead of you vilify every white person wait for the results!  Why I left the #Democrat party because everyone of the KKK Democrats rile up Black people to destroy the Black Community and America making [MASK] Heroes and Victims Criminals https://t.co/J0VudOp0ri,pro,anti,criminals
"@AppSame @NAACP Let me clarify that I don't accuse all black Americans or black Democrats of being criminals, but it is a U.S. gov crime stats FACT that 80% of all violent crime in America is committed by [MASK].

If the NAACP was a serious organization, it would stop black criminals.",anti,pro,black americans
@DecodingFoxNews @danpfeiffer But he can BUY a president! #chiefJusticeRoberts the racist [MASK] approved this w #citizensUnited as he stripped voting rights away from Black Americans cc @marceelias,anti,pro,justice
@LauriceF @sandibachom @just_us6973 @southernjib Well I know people who literally have MAGA  [MASK] members who have told their kids to hate their own grandparents and people who threaten violence against their own friends and family if they dare to disagree. These people are irredeemable.,anti,pro,family
"@francisguy444 @1StrongBlack1 @WendellPierce With no plan or strategy yall are asking the government to write a check to black Americans for 20 trillion dollars, meanwhile [MASK] Republicans are trying to slash Medicare, Medicaid &amp; Social Security that benefits even their constituents. Y’all are a #hashtag not a movement.",pro,anti,racist
